id,created_at,favorite_count,retweet_count,text
1354471435557875717,2021-01-27 16:48:49,8,2,"විශ්වවිද්‍යාලවලට බඳවා ගන්නා ශිෂ්‍ය සංඛ්‍යාව ඉහළ දැමීමට අවධානය

2019 අ.පො.ස උසස්පෙළ විභාගයේ පැරණි සහ නව නිර්දේශ කඩඉම් ලකුණු මට්ටම් දෙකකින් විශ්වවිද්‍යාලවලට...
#adaderanasinhala #lka #slnews

වැඩි විස්තර - https://t.co/E7RB7BrNj4 https://t.co/9tiJyHvA89"
1354471154547912708,2021-01-27 16:47:42,4,2,"ක්‍රිකට් ප්‍රතිසංස්කරණ කටයුතු කඩිනමින්

ශ්‍රී ලංකා ක්‍රිකට් ක්‍රීඩාව පත්ව ඇති අර්බුදයෙන් ගොඩගැනීම සඳහා අවශ්‍ය ප්‍රතිසංස්කරණ මෙම සතිය තුළදීම...
#adaderanasinhala #lka #slnews

වැඩි විස්තර - https://t.co/v7wZTXBDrI https://t.co/WuxdbJ7sGe"
1354470863526100994,2021-01-27 16:46:33,1,2,"ෆවාඩ් අලාම් පාකිස්තානය බේරාගනී

තමාගේ ටෙස්ට් දිවියේ තෙවැනි ශතකය රැස්කර ගනිමින් පාකිස්තාන මැදපෙළ ක්‍රීඩක ෆවාඩ් අලාම්...
#adaderanasinhala #lka #slnews 

වැඩි විස්තර - https://t.co/zlVBzcikxQ https://t.co/XwtlALtnmf"
1354470522009112581,2021-01-27 16:45:11,1,1,"කොවිඩ් ආසාදිතයින් 431ක්

කොවිඩ් -19 වෛරසය ආසාදනය වූ තවත් රෝගීන් 431 දෙනෙකු අද (27) දිනයේ හඳුනාගෙන තිබේ.
#adaderanasinhala #lka #slnews #slcovid19

වැඩි විස්තර - https://t.co/MFzsNEWibt https://t.co/PIUDpZMDeG"
1354470195302174720,2021-01-27 16:43:54,1,1,"කොවිඩ් මරණ 290 දක්වා ඉහළට

අද (27) කොවිඩ් මරණ 2ක් වාර්තා වී ඇති බව සෞඛ්‍ය සේවා අධ්‍යක්ෂ ජනරාල් වෛද්‍ය අසේල ගුණවර්ධන මහතා පවසයි.
#adaderanasinhala #lka #slnews #slcovid19

වැඩි විස්තර - https://t.co/I86N77vcvp https://t.co/rp0AQDqTom"
1354470142093250564,2021-01-27 16:43:41,1,1,"තැන තැන ආසාදිත වු පාසැල් සිසුන්

කොවිඩ් ආසාදිතයින් කිහිපදෙනෙකු හමුවීම හේතුවෙන් හැටන් බොස්කෝ විද්‍යාලය අද (27) සිට තාවකාලිකව වසා දැමීමට කටයුතු කර තිබේ.

#adaderanasinhala #lka #slnews #slcovid19

වැඩි විස්තර - https://t.co/hrNOUERpAi https://t.co/pS3FUH5B6u"
1354469654819909639,2021-01-27 16:41:45,1,1,"සීගිරි දඹුලු චාරිකාවක නිරත වු 22කට කොවිඩ්

මතුගම සෞඛ්‍ය වෛද්‍ය නිලධාරී කොට්ඨාසයේ බොන්දුපිටිය ප්‍රදේශයේ පිරිසක් පසුගියදා සීගිරි දඹුලු චාරිකාවක නිරතව ඇති අතර ඉන් එක් අයෙකුට කොවිඩ් ආසාදනය වී තිබුණි.
#adaderanasinhala #lka #slnews #slcovid19

වැඩි විස්තර - https://t.co/OI915z7Xgh https://t.co/57MaqDUGhA"
1354455208206753795,2021-01-27 15:44:20,7,3,"අසන්ත ද මෙල් ඉල්ලා අස්වෙයි

ශ්‍රී ලංකා ක්‍රිකට් තේරීම් කමිටුවේ සභාපති අසන්ත ද මෙල් මහතා එම ධුරයෙන් ඉල්ලා අස්වී තිබේ.
#adaderanasinhala #lka #slnews

වැඩි විස්තර - https://t.co/TtWKdtOJKW https://t.co/YHrGKLaxL6"
1354447096590573575,2021-01-27 15:12:06,7,3,"ඉන්දීවරී අමුවත්ත ට සම්මානයක්

""2020 ටොප් ෆිෆ්ටි"" විද්වත් සහ කාන්තා කළමනාකරණ සම්මාන උළෙලේදී විද්‍යුත් මාධ්‍ය සඳහා පිරිනැමෙන රන් සම්මාන...
#adaderanasinhala #lka #slnews

වැඩි විස්තර - https://t.co/RnrcMFR9eI https://t.co/TTfLyn3rdL"
1354433278942576640,2021-01-27 14:17:12,9,3,"පාස්කු කොමිසම - කාලය වසරයි, සාක්ෂිකරුවන් 440යි

පාස්කු ඉරුදින ත්‍රස්ත ප්‍රහාර මාලාව පිළිබඳ සොයාබැලෙන ජනාධිපති පරීක්ෂණ කොමිෂන් සභාවේ අවසන් වාර්තාව..
#adaderanasinhala #lka #slnews #slcovid19
වැඩි විස්තර - https://t.co/0RuxCeItov https://t.co/e8SlV1Raxu"
1354425966920085507,2021-01-27 13:48:09,9,2,"ශ්‍රී ලංකාවේ කොවිඩ් එන්නත්කරණ වැඩසටහන සිකුරාදා සිට

ඉන්දීය රජයේ ප්‍රදානයක් ලෙස මෙරටට ලැබෙන ""ඔක්ස්ෆර්ඩ් ඇස්ට්‍රාසෙනෙකා - කොවිෂීල්ඩ්"" කොවිඩ් එන්නත් තොගය හෙට (28) මෙරටට ලැබීමට නියමිතය.
#adaderanasinhala #lka #slnews #slcovid19

වැඩි විස්තර - https://t.co/QhtLpn6o8a https://t.co/RoBexGFW9y"
1354423714075594752,2021-01-27 13:39:12,17,4,"වසරක් තුළ කොවිඩ් රෝගීන් 60000ක්

ශ්‍රී ලංකාවේ පළමු කොවිඩ් රෝගීයා වාර්තා වී තිබුණේ මීට වසරකට පමණ පෙරය. ඒ...
#adaderanasinhala #lka #slnews #slcovid19
වැඩි විස්තර - https://t.co/RozhrOm7we https://t.co/V6mzzgxZTU"
1354406479445577733,2021-01-27 12:30:43,6,1,"සී බී රත්නායක දෙවන වරටත් ස්වයං නිරෝධායනයට

වනජීවි හා වන සංරක්ෂණ අමාත්‍ය සී.බී. රත්නායක මහතා ස්වයං නිරෝධානයට යොමුවී..
#adaderanasinhala #lka #slnews #slcovid19
වැඩි විස්තර -https://t.co/BwZWX2cxCn https://t.co/GU0KtrLjEo"
1354404909949587456,2021-01-27 12:24:28,12,2,"කොවිඩ් ආසාදිතයින් 1520කට සුවයි

කොවිඩ් -19 වෛරසය ආසාදනය වී රෝගහල්ගතව ප්‍රතිකාර ලැබූ තවත් 1520 දෙනෙකු..
#adaderanasinhala #lka #slnews #slcovid19
වැඩි විස්තර - https://t.co/I8oKMN1FUh https://t.co/ewyWFnrcBL"
1354401297039036422,2021-01-27 12:10:07,5,1,"කාන්තාවකගෙන් රුපියල් 150,000ක අල්ලසක් ගත් පුද්ගලයෙක් අත්අඩංගුවට

කාන්තාවකගෙන් රුපියල් 150,000ක මුදලක් අල්ලසක් ලෙස ඉල්ලා එය ලබාගන්නා අවස්ථාවේදී පුද්ගලයෙකු ව අත්අත්අඩංගුවට ගෙන ඇත.
#adaderanasinhala #lka #slnews

වැඩි විස්තර - https://t.co/fOWuuLMXPS https://t.co/Qb2PXW5qKP"
1354399828290248705,2021-01-27 12:04:17,4,1,"පුජිත් ගේ FR පෙත්සම සලකා බැලීමට දින නියමවේ

පාස්කු ඉරුදින එල්ල කෙරුණු ත්‍රස්ත ප්‍රහාර සිද්ධියෙන් පසුව තමන්ව අනිවාර්ය නිවාඩු යැවීමට එවක...
#adaderanasinhala #lka #slnews

වැඩි විස්තර - https://t.co/V8doL4iwQB https://t.co/ibRjGv2CrK"
1354392724246581253,2021-01-27 11:36:03,7,2,"දේශපාලන ඇඟිලි ගැසීම් නවත්වන්නැයි ඉල්ලා රුවන්වැල්ල රාජසිංහ විද්‍යාලයේ ගුරුවරු පාරට

#adaderanasinhala #lka #slnews

වැඩි විස්තර - https://t.co/40KxVtb7N2 https://t.co/hTom3BG5x5"
