Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1323087303355600896,"ඇඳිරි නීතිය නොමැති ප‍්‍රදේශවල පවා ගෘහස්ථ උත්සව, එළිමහන් උත්සව, මහජන රැුස්වීම්, සැණකෙලි, සංගීත සංදර්ශණ සහ වෙරළ සාද සඳහා අවසර හිමිවන්නේ නැහැ. පාසැල්, විශ්ව විද්‍යාල ඇතුළු උසස් අධ්‍යාපන ආයතන මෙන්ම උපකාරක පංති #lka #SriLanka #Covid_19 #COVID19LK (1/2) https://t.co/UpUe1QI8cm",Dinuk,22Dinuk,2020-11-02T02:19:29.000Z,Mon Nov 02 02:19:29 +0000 2020,1,0,si,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,,4,0,photo,https://pbs.twimg.com/media/ElyM1prXYAE1ywA.jpg,https://pbs.twimg.com/media/ElyM1p5WMAYyJCx.jpg,https://pbs.twimg.com/media/ElyM1qZXUAAPNCd.jpg,https://pbs.twimg.com/media/ElyM4cdX0AARGWo.jpg
1323082828553179136,"RT @AthaudaDasuni : BREAKING‼️

Quarantine Curfew to the Western province EXTENDED until 5 AM on the 9th of November 

- Army Commander #lka #sriLanka #Covid_19 #COVID19LK",Travel with Radi,TravelwithRadi,2020-11-02T02:01:42.000Z,Mon Nov 02 02:01:42 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,4,0,,,,,
1323078241670889482,"RT @munza14 : I wish this was a joke, I really really wish!  https://t.co/RBPIBufG2d
#LKA #SriLanka #COVID19SL",ThyagiRuwanpathirana,ThyagiR,2020-11-02T01:43:29.000Z,Mon Nov 02 01:43:29 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,http://www.newswire.lk/2020/11/01/sri-lankan-ministers-seek-divine-interventions-to-combat-covid-19/ ,3,0,,,,,
1323059963715936256,"🚨CORONAVIRUS UPDATE🚨

🔴Total number of Covid-19 cases reported in Sri Lanka exceeds the 11,000 mark(11,060);  6,134 still receiving treatment &amp; 4,905 recoveries :Health Ministry

#LKA #SriLanka #COVID19SL #COVID19LK #COVID_19SL #coronavirus #outbreaks #StayAtHome",𝒀𝒖𝒈𝒂𝒏 𝓝𝓪𝓻𝓶𝓪𝓽𝓱𝓪𝓷,imyugan,2020-11-02T00:30:51.000Z,Mon Nov 02 00:30:51 +0000 2020,1,1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,8,0,,,,,
1323059958062084096,"🚨COVID ALERT🚨

⭕Another 204 tested positive  for Covid-19 : Army Commander 

🔹️35 are from quarantine  centres 

🔹️169 are close contacts of previous patients.

#LKA #SriLanka #COVID19SL #COVID19LK #COVID_19SL #coronavirus #outbreaks #StayAtHome",𝒀𝒖𝒈𝒂𝒏 𝓝𝓪𝓻𝓶𝓪𝓽𝓱𝓪𝓷,imyugan,2020-11-02T00:30:49.000Z,Mon Nov 02 00:30:49 +0000 2020,1,1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,8,0,,,,,
1323059103829159936,"🚨COVID ALERT🚨

⭕Another 204 tested positive  for Covid-19 : Army Commander 

🔹️35 are from quarantine  centres

🔹️169 are close contacts of previous patients.

#LKA #SriLanka #COVID19SL #COVID19LK #COVID_19SL #coronavirus #outbreaks #StayAtHome",𝒀𝒖𝒈𝒂𝒏 𝓝𝓪𝓻𝓶𝓪𝓽𝓱𝓪𝓷,imyugan,2020-11-02T00:27:26.000Z,Mon Nov 02 00:27:26 +0000 2020,1,1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,8,0,,,,,
1323058732721336320,"RT @munza14 : I wish this was a joke, I really really wish!  https://t.co/RBPIBufG2d
#LKA #SriLanka #COVID19SL",Praveen Gunasekara,praveensl,2020-11-02T00:25:57.000Z,Mon Nov 02 00:25:57 +0000 2020,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,http://www.newswire.lk/2020/11/01/sri-lankan-ministers-seek-divine-interventions-to-combat-covid-19/ ,3,0,,,,,
1323058287965736960,"🚨CORONA ALERT🚨
#BREAKING 
⭕The 21st Covid-19 death reported in Sri Lanka, that of a 40 year old male from #Mahara, receiving treatment for high blood pressure &amp; respiratory ailments at the Chest Hospital in #Welisara : Govt Info Dept

#LKA #SriLanka #COVID19SL #COVID19LK",𝒀𝒖𝒈𝒂𝒏 𝓝𝓪𝓻𝓶𝓪𝓽𝓱𝓪𝓷,imyugan,2020-11-02T00:24:11.000Z,Mon Nov 02 00:24:11 +0000 2020,1,1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,7,0,,,,,
1323018238444392449,"#India should kick-start a truly green future by embarking upon a green-oriented recovery, as Germany and France have done says @Vibhuti_D_Garg. via @Dailyhunt_India https://t.co/dBrFyQoQj4",IEEFA_AsiaPacific,IEEFA_AsiaPac,2020-11-01T21:45:03.000Z,Sun Nov 01 21:45:03 +0000 2020,0,0,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Tweet,http://ow.ly/EigH50C77Sc ,1,2,,,,,
1322988867985629184,"RT @raprasadh : **-ஐரோப்பிய வைரஸ்-**

ஐரோப்பிய நாடுகளில் பரவிவரும் கொவிட் வைரஸ் உடன், இலங்கையில் தற்போது பரவிவரும் வைரஸ் ஒத்து போகின்றமையினால், குறித்த வைரஸ் இந்தியாவில் பரவும் வைரஸ் பிரிவுடன் தொடர்பு கிடையாது என ஆய்வாளர்கள் குறிப்பிடுகின்றனர். 
VIA @AdaDerana_24 

#Covid_19 #Covid19UK #SriLanka https://t.co/9XYI0Cjaks",Jaffna தளபதி தனன் 💪🔥,thananthana,2020-11-01T19:48:20.000Z,Sun Nov 01 19:48:20 +0000 2020,0,0,ta,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,3,1,photo,https://pbs.twimg.com/media/EluaX7LU4AArX_8.jpg,,,
